feature,importance
estres,0.3263232417356963
antisocial,0.28752612721742044
desespero,0.21432312617674848
depresion,0.17182750486994897
FOLIO,1.369480942109258e-13
FACTOR_y,4.858136580940878e-14
ENT,3.0149913312372306e-16
nt_causa,0.0
q_hombres,0.0
t_papa,0.0
t_fam_mujer,0.0
t_fam_hombre,0.0
t_o_mujer,0.0
t_o_hombre,0.0
t_horas,0.0
max_nivel_esp,0.0
nivel_edu,0.0
inscrito,0.0
edu_inicial,0.0
EDAD,0.0
q_personas,0.0
q_mujeres,0.0
t_impresos,0.0
x<30,0.0
pc,0.0
laptop,0.0
tv_plana,0.0
tablet,0.0
smartphone,0.0
InternetF,0.0
sIF_causa,0.0
mejora_vida,0.0
mejora_trabajo,0.0
mejor_decisor,0.0
t_mama,0.0
t_TV,0.0
asesorias,0.0
entr_induccion,0.0
extraord,0.0
recursado,0.0
ev_tareas,0.0
ev_exam,0.0
ev_digital,0.0
ev_partcp,0.0
ev_libreta,0.0
ev_asist,0.0
ev_otro,0.0
ev_nula,0.0
nins_causa,0.0
entr_diagnost,0.0
entr_regulariz,0.0
t_tablet,0.0
m_impresos,0.0
m_pizarra,0.0
m_audio_vid,0.0
m_expos,0.0
m_otro,0.0
med_plataform,0.0
med_mail_RS,0.0
med_clases_v,0.0
med_presencial,0.0
t_smartphone,0.0
SEXO,0.0
t_PC,0.0
t_laptop,0.0
