feature,importance
Grade_2,0.09
Health_Status,0.09
Final_Grade,0.08
Grade_1,0.08
Age,0.05
Extra_Curricular_Activities_yes,0.05
Weekend_Alcohol_Consumption,0.04
Weekday_Alcohol_Consumption,0.04
Number_of_Absences,0.04
Going_Out,0.04
Free_Time,0.04
Family_Relationship,0.04
Study_Time,0.03
Travel_Time,0.03
Internet_Access_yes,0.03
Extra_Paid_Class_yes,0.03
Father_Job_teacher,0.02
Number_of_Failures,0.02
Mother_Education,0.02
Mother_Job_other,0.02
Guardian_mother,0.02
Wants_Higher_Education_yes,0.01
Family_Support_yes,0.01
School_Support_yes,0.01
Reason_for_Choosing_School_other,0.01
Mother_Job_health,0.01
Father_Job_other,0.01
Father_Job_health,0.01
Address_Urbana,0.01
Gender_M,0.01
Father_Education,0.01
Father_Job_services,0.0
Reason_for_Choosing_School_home,0.0
Reason_for_Choosing_School_reputation,0.0
Mother_Job_teacher,0.0
Guardian_other,0.0
Mother_Job_services,0.0
Parental_Status_Together,0.0
Family_Size_> 3,0.0
Attended_Nursery_yes,0.0
In_Relationship_yes,0.0
