feature,importance
Final_Grade,0.9281876599997657
Going_Out,0.009042386185243329
Grade_2,0.006939023332465921
Weekend_Alcohol_Consumption,0.0068374042179492325
Age,0.006382881628246958
Grade_1,0.005607389523890398
Extra_Paid_Class_yes,0.004798516829241739
Family_Size_> 3,0.004353741496598639
Number_of_Failures,0.004155844155844157
Reason_for_Choosing_School_reputation,0.003767357166202357
Number_of_Absences,0.0029481209714272206
Gender_M,0.002857142857142857
Free_Time,0.002813186813186812
Father_Education,0.002715468269335547
Travel_Time,0.0026067067261097026
Health_Status,0.002250239456061559
Weekday_Alcohol_Consumption,0.00204027553159628
Family_Relationship,0.001252173913043483
Father_Job_teacher,0.0004444809266479862
Reason_for_Choosing_School_other,0.0
Wants_Higher_Education_yes,0.0
Attended_Nursery_yes,0.0
Extra_Curricular_Activities_yes,0.0
Internet_Access_yes,0.0
Family_Support_yes,0.0
School_Support_yes,0.0
Guardian_other,0.0
Guardian_mother,0.0
Mother_Job_health,0.0
Reason_for_Choosing_School_home,0.0
Father_Job_services,0.0
Father_Job_other,0.0
Father_Job_health,0.0
Mother_Job_teacher,0.0
Mother_Job_services,0.0
Mother_Job_other,0.0
Mother_Education,0.0
Parental_Status_Together,0.0
Address_Urbana,0.0
Study_Time,0.0
In_Relationship_yes,0.0
