feature,importance
Final_Grade,0.9306143554397437
Going_Out,0.009782157167475505
Grade_2,0.007971823388080864
Travel_Time,0.00637820315751078
Grade_1,0.005641418774581963
Extra_Paid_Class_yes,0.005351220980454813
Health_Status,0.004111298825291517
Age,0.00387308211602629
Father_Education,0.003838656600715637
Reason_for_Choosing_School_reputation,0.003060804085405999
Weekend_Alcohol_Consumption,0.002871119419254094
Gender_M,0.0022316483441498637
Number_of_Failures,0.0016309295326529627
Free_Time,0.0014851770196528348
Number_of_Absences,0.0010105800438375324
School_Support_yes,0.0009745171367081506
Family_Relationship,0.0009411422827202065
Father_Job_teacher,0.0008552127767001638
Mother_Education,0.000832577874019363
Reason_for_Choosing_School_other,0.0006984564356994101
Family_Size_> 3,0.0006882100968888851
Study_Time,0.0006622768641521552
Mother_Job_teacher,0.0006354437683857268
Address_Urbana,0.0006256691446555917
Wants_Higher_Education_yes,0.0006233193658439185
Weekday_Alcohol_Consumption,0.0005977813979601965
Father_Job_services,0.0005618127672260158
Internet_Access_yes,0.0003906930116158039
Guardian_other,0.00032068221400415015
Parental_Status_Together,0.00025812641623742773
Reason_for_Choosing_School_home,0.00016019782983699366
Mother_Job_other,8.24250363998251e-05
In_Relationship_yes,5.361635390150113e-05
Mother_Job_health,4.798120426599746e-05
Extra_Curricular_Activities_yes,4.6523536015557794e-05
Family_Support_yes,4.35554783626107e-05
Guardian_mother,2.0107469044354374e-05
Mother_Job_services,1.0958406701498619e-05
Attended_Nursery_yes,9.520208709976699e-06
Father_Job_other,6.718029110085046e-06
Father_Job_health,0.0
