feature,importance
Grade_2,0.13
Final_Grade,0.08
Grade_1,0.08
Age,0.06
Number_of_Absences,0.06
Health_Status,0.05
Father_Education,0.04
Extra_Curricular_Activities_yes,0.04
Mother_Job_other,0.03
Guardian_mother,0.03
Family_Relationship,0.03
Reason_for_Choosing_School_other,0.03
Father_Job_other,0.03
Weekday_Alcohol_Consumption,0.03
Mother_Job_services,0.02
Family_Size_> 3,0.02
Attended_Nursery_yes,0.02
Mother_Education,0.02
Mother_Job_health,0.02
Free_Time,0.02
Weekend_Alcohol_Consumption,0.02
Travel_Time,0.02
Study_Time,0.02
Going_Out,0.02
Parental_Status_Together,0.01
Wants_Higher_Education_yes,0.01
Extra_Paid_Class_yes,0.01
Number_of_Failures,0.01
In_Relationship_yes,0.01
Father_Job_health,0.01
Mother_Job_teacher,0.01
Gender_M,0.01
Reason_for_Choosing_School_home,0.0
Address_Urbana,0.0
Father_Job_teacher,0.0
Guardian_other,0.0
School_Support_yes,0.0
Family_Support_yes,0.0
Father_Job_services,0.0
Internet_Access_yes,0.0
Reason_for_Choosing_School_reputation,0.0
