feature,importance
Final_Grade,0.9515118964680679
Going_Out,0.01245942337650209
Grade_2,0.012306083345518944
Number_of_Absences,0.008704428949480505
Travel_Time,0.004519325988501634
Study_Time,0.003422386496774068
Health_Status,0.001680080643870906
Guardian_mother,0.001605410393032202
Grade_1,0.0015422337386466957
Father_Job_services,0.0007867527594338338
Weekend_Alcohol_Consumption,0.0006484521783361388
Weekday_Alcohol_Consumption,0.0006279259086320606
Wants_Higher_Education_yes,0.00016906640462924384
Extra_Paid_Class_yes,1.653334857372321e-05
Reason_for_Choosing_School_reputation,0.0
Guardian_other,0.0
Reason_for_Choosing_School_other,0.0
Reason_for_Choosing_School_home,0.0
Age,0.0
School_Support_yes,0.0
Family_Support_yes,0.0
Extra_Curricular_Activities_yes,0.0
Attended_Nursery_yes,0.0
Internet_Access_yes,0.0
Father_Job_teacher,0.0
Mother_Job_health,0.0
Father_Job_other,0.0
Father_Job_health,0.0
Mother_Job_teacher,0.0
Mother_Job_services,0.0
Mother_Job_other,0.0
Mother_Education,0.0
Parental_Status_Together,0.0
Family_Size_> 3,0.0
Address_Urbana,0.0
Gender_M,0.0
Free_Time,0.0
Family_Relationship,0.0
Number_of_Failures,0.0
Father_Education,0.0
In_Relationship_yes,0.0
