feature,importance
Final_Grade,0.14
Grade_1,0.12
Number_of_Absences,0.12
Grade_2,0.1
Mother_Education,0.08
Weekend_Alcohol_Consumption,0.06
Family_Relationship,0.06
Health_Status,0.04
Reason_for_Choosing_School_other,0.04
Father_Education,0.04
Study_Time,0.04
Wants_Higher_Education_yes,0.02
Extra_Curricular_Activities_yes,0.02
Father_Job_other,0.02
Mother_Job_other,0.02
Extra_Paid_Class_yes,0.02
Age,0.02
Travel_Time,0.02
Free_Time,0.02
Attended_Nursery_yes,0.0
School_Support_yes,0.0
Reason_for_Choosing_School_home,0.0
Internet_Access_yes,0.0
Guardian_other,0.0
Guardian_mother,0.0
Reason_for_Choosing_School_reputation,0.0
Family_Support_yes,0.0
Mother_Job_health,0.0
Father_Job_teacher,0.0
Father_Job_services,0.0
Father_Job_health,0.0
Mother_Job_teacher,0.0
Mother_Job_services,0.0
Parental_Status_Together,0.0
Family_Size_> 3,0.0
Address_Urbana,0.0
Gender_M,0.0
Weekday_Alcohol_Consumption,0.0
Going_Out,0.0
Number_of_Failures,0.0
In_Relationship_yes,0.0
