feature,importance
Final_Grade,0.9269980672138932
Grade_2,0.011822173024509075
Number_of_Absences,0.009179574753455096
Grade_1,0.008335932701131966
Going_Out,0.004192142894744066
Travel_Time,0.0038236944434376667
Weekend_Alcohol_Consumption,0.003534401103935294
Gender_M,0.0034604106068377516
Age,0.003406493322839646
Mother_Job_services,0.003337205567501344
Reason_for_Choosing_School_other,0.0027780130966666284
Health_Status,0.0025167564594574914
Weekday_Alcohol_Consumption,0.00215310094096493
Study_Time,0.0017167091173149486
In_Relationship_yes,0.0013442291016272797
Father_Education,0.0013113907342443179
Guardian_other,0.0012545405363493462
Mother_Education,0.0011940645420031148
Free_Time,0.001179060105932191
Father_Job_services,0.0007189611266506365
Address_Urbana,0.0007118731107284916
Father_Job_other,0.0006348239705695169
Family_Support_yes,0.0005493069436872924
Family_Size_> 3,0.00044727963128198694
Guardian_mother,0.00036477152655682446
Attended_Nursery_yes,0.00034911038761747915
Extra_Paid_Class_yes,0.00033982433543521635
Mother_Job_other,0.0003354457027226614
Family_Relationship,0.0003258258848735512
Mother_Job_health,0.0002941326677990804
Extra_Curricular_Activities_yes,0.0002809945576087955
Reason_for_Choosing_School_home,0.00023180036717528808
Wants_Higher_Education_yes,0.00020071986090187274
Reason_for_Choosing_School_reputation,0.00018646817292617348
School_Support_yes,0.000155178107640056
Internet_Access_yes,0.00015071198923529385
Father_Job_health,9.10484158521996e-05
Number_of_Failures,7.034289057941075e-05
Parental_Status_Together,2.3379507518652532e-05
Father_Job_teacher,3.989151048689427e-08
Mother_Job_teacher,6.842837773132662e-10
