feature,importance
estres,0.13025634386075768
antisocial,0.10036212564007452
m_expos,0.08982974257616207
m_audio_vid,0.06987033819674918
depresion,0.0603477318390423
desespero,0.060243754040306824
entr_diagnost,0.059883483422430474
t_tablet,0.04991092577463549
med_plataform,0.04986114043152158
entr_regulariz,0.03992414870442556
m_impresos,0.03174164295222974
m_otro,0.029953750680197865
med_mail_RS,0.02994639969935149
t_smartphone,0.029938873755300167
t_laptop,0.029927722740160635
m_pizarra,0.021610160843968926
t_PC,0.019959246325374116
t_TV,0.019957448119354106
med_clases_v,0.019949962941062552
med_presencial,0.019948035226356943
t_impresos,0.01993709670314301
entr_induccion,0.009977771551390341
ev_libreta,0.006526225728713577
edu_inicial,5.076048499067965e-05
nins_causa,3.5189301452664756e-05
extraord,9.241919112500454e-06
ev_tareas,9.215541591844564e-06
ev_digital,5.8854414567193555e-06
EDAD,5.785749758960779e-06
FACTOR_y,3.972451933699028e-06
FOLIO,3.332377259077097e-06
ev_nula,2.826902132777784e-06
asesorias,2.753861758902067e-06
nivel_edu,2.1452549972317323e-06
recursado,1.2315272125274337e-06
smartphone,8.841050215797559e-07
q_hombres,5.99944874393134e-07
q_personas,5.888414716855994e-07
ev_partcp,4.167531449994134e-07
q_mujeres,2.3495748382842287e-07
ev_otro,1.8292590162879845e-07
mejora_trabajo,1.7497619284331045e-07
ev_exam,1.7278093038684707e-07
ev_asist,8.085846663595957e-08
ENT,6.540981599815078e-08
laptop,5.064298139461723e-08
tablet,3.8775407705949924e-08
pc,2.030698516200006e-08
SEXO,1.9129580764600546e-08
mejor_decisor,1.7078065842804645e-08
sIF_causa,1.672102359119505e-08
InternetF,1.4401511943837969e-08
tv_plana,8.824772911978134e-09
nt_causa,0.0
max_nivel_esp,0.0
t_horas,0.0
x<30,0.0
t_o_hombre,0.0
t_o_mujer,0.0
t_fam_hombre,0.0
t_fam_mujer,0.0
mejora_vida,0.0
t_papa,0.0
t_mama,0.0
inscrito,0.0
